Date,open,high,low,close,adjclose,volume,ingested_at_utc
02-01-2017,146000,150500,145500,150000,109767.0313,545854,2026-02-19 06:47:45.287325+00:00
03-01-2017,151000,154000,150000,153000,111962.3828,723246,2026-02-19 06:47:45.287325+00:00
04-01-2017,152500,155000,152000,154000,112694.1484,601826,2026-02-19 06:47:45.287325+00:00
05-01-2017,154000,154500,152000,153500,112328.2734,391604,2026-02-19 06:47:45.287325+00:00
06-01-2017,152000,153000,149500,151000,110498.8203,366091,2026-02-19 06:47:45.287325+00:00
09-01-2017,151000,151500,149500,150500,110132.9453,325146,2026-02-19 06:47:45.287325+00:00
10-01-2017,150500,153000,150500,152000,111230.5938,411333,2026-02-19 06:47:45.287325+00:00
11-01-2017,150500,150500,147500,148500,108669.375,675973,2026-02-19 06:47:45.287325+00:00
12-01-2017,148000,151000,147500,148000,108303.4766,433867,2026-02-19 06:47:45.287325+00:00
13-01-2017,149000,150000,148500,149000,109035.2656,293211,2026-02-19 06:47:45.287325+00:00
16-01-2017,148500,151000,148500,150500,110132.9453,316413,2026-02-19 06:47:45.287325+00:00
17-01-2017,150000,154000,149500,153500,112328.2734,487662,2026-02-19 06:47:45.287325+00:00
18-01-2017,153000,155500,151000,154000,112694.1484,395088,2026-02-19 06:47:45.287325+00:00
19-01-2017,153000,153500,151000,152000,111230.5938,255111,2026-02-19 06:47:45.287325+00:00
20-01-2017,150500,153500,150000,153000,111962.3828,310228,2026-02-19 06:47:45.287325+00:00
23-01-2017,151500,152000,148500,149000,109035.2656,424036,2026-02-19 06:47:45.287325+00:00
24-01-2017,149500,149500,145500,146500,107205.8047,518186,2026-02-19 06:47:45.287325+00:00
25-01-2017,146500,147500,141500,142000,103912.7813,749465,2026-02-19 06:47:45.287325+00:00
26-01-2017,143500,143500,139500,142500,104278.6875,632413,2026-02-19 06:47:45.287325+00:00
31-01-2017,141500,142500,139000,139500,102083.3438,574213,2026-02-19 06:47:45.287325+00:00
01-02-2017,140000,141000,139000,139500,102083.3438,446549,2026-02-19 06:47:45.287325+00:00
02-02-2017,140000,140000,135500,136000,99522.10938,610731,2026-02-19 06:47:45.287325+00:00
03-02-2017,136500,139000,136000,137500,100619.7813,453051,2026-02-19 06:47:45.287325+00:00
06-02-2017,139000,139500,136000,136500,99888.00781,293891,2026-02-19 06:47:45.287325+00:00
07-02-2017,138000,140000,137500,139000,101717.4688,395508,2026-02-19 06:47:45.287325+00:00
08-02-2017,138500,139500,137000,139000,101717.4688,415346,2026-02-19 06:47:45.287325+00:00
09-02-2017,139500,141000,137500,140000,102449.25,513611,2026-02-19 06:47:45.287325+00:00
10-02-2017,141000,141500,139000,141000,103181.0156,330000,2026-02-19 06:47:45.287325+00:00
13-02-2017,141500,141500,139000,139500,102083.3438,320997,2026-02-19 06:47:45.287325+00:00
14-02-2017,140000,140500,139500,140000,102449.25,295126,2026-02-19 06:47:45.287325+00:00
15-02-2017,141500,146500,141500,145500,106474.0391,682399,2026-02-19 06:47:45.287325+00:00
16-02-2017,146500,151500,146500,150500,110132.9453,991329,2026-02-19 06:47:45.287325+00:00
17-02-2017,149500,151000,148000,150500,110132.9453,484244,2026-02-19 06:47:45.287325+00:00
20-02-2017,149500,151000,149500,150000,109767.0313,239916,2026-02-19 06:47:45.287325+00:00
21-02-2017,150000,151500,149000,151000,110498.8203,324845,2026-02-19 06:47:45.287325+00:00
22-02-2017,150000,151000,147000,149500,109401.1563,423978,2026-02-19 06:47:45.287325+00:00
23-02-2017,150500,150500,145000,146000,106839.9141,790326,2026-02-19 06:47:45.287325+00:00
24-02-2017,147000,148500,146500,148000,108303.4766,248236,2026-02-19 06:47:45.287325+00:00
27-02-2017,148500,149000,146500,148500,108669.375,183801,2026-02-19 06:47:45.287325+00:00
28-02-2017,148500,150000,146500,149500,109401.1563,476960,2026-02-19 06:47:45.287325+00:00
02-03-2017,149000,150500,148500,148500,108669.375,660227,2026-02-19 06:47:45.287325+00:00
03-03-2017,147000,148000,141000,142000,103912.7813,774281,2026-02-19 06:47:45.287325+00:00
