Date,open,high,low,close,adjclose,volume,ingested_at_utc
02-01-2020,121000,121000,118000,118000,94578.54688,556532,2026-02-19 06:47:45.287325+00:00
03-01-2020,118500,119000,115000,116000,92975.53125,1145187,2026-02-19 06:47:45.287325+00:00
06-01-2020,116000,117000,115500,116000,92975.53125,334574,2026-02-19 06:47:45.287325+00:00
07-01-2020,116500,117000,115500,115500,92574.78906,674196,2026-02-19 06:47:45.287325+00:00
08-01-2020,115000,115500,111500,112000,89769.48438,1044825,2026-02-19 06:47:45.287325+00:00
09-01-2020,113000,114500,110000,111500,89368.71875,1375510,2026-02-19 06:47:45.287325+00:00
10-01-2020,112500,114500,112000,113500,90971.73438,896507,2026-02-19 06:47:45.287325+00:00
13-01-2020,113500,115500,113000,115000,92174.01563,692917,2026-02-19 06:47:45.287325+00:00
14-01-2020,115500,117000,115500,116000,92975.53125,739959,2026-02-19 06:47:45.287325+00:00
15-01-2020,116000,116000,114000,115000,92174.01563,564142,2026-02-19 06:47:45.287325+00:00
16-01-2020,117000,120000,116500,118500,94979.30469,1638719,2026-02-19 06:47:45.287325+00:00
17-01-2020,118500,120000,118000,118500,94979.30469,574301,2026-02-19 06:47:45.287325+00:00
20-01-2020,119500,119500,117500,118000,94578.54688,445922,2026-02-19 06:47:45.287325+00:00
21-01-2020,118000,118500,116500,117000,93777.04688,545156,2026-02-19 06:47:45.287325+00:00
22-01-2020,117500,127000,117500,127000,101792.1875,2773421,2026-02-19 06:47:45.287325+00:00
23-01-2020,130000,131500,128000,130500,104597.4766,2492785,2026-02-19 06:47:45.287325+00:00
28-01-2020,127000,132500,127000,131000,104998.2188,1841752,2026-02-19 06:47:45.287325+00:00
29-01-2020,132000,133000,129000,131000,104998.2188,1318578,2026-02-19 06:47:45.287325+00:00
30-01-2020,130000,130500,126500,127500,102192.9375,1034661,2026-02-19 06:47:45.287325+00:00
31-01-2020,128500,129500,124500,125000,100189.1484,1035126,2026-02-19 06:47:45.287325+00:00
03-02-2020,123000,125000,121000,123500,98986.86719,1270442,2026-02-19 06:47:45.287325+00:00
04-02-2020,123500,126000,122500,124000,99387.64063,1203992,2026-02-19 06:47:45.287325+00:00
05-02-2020,125000,126000,123500,124000,99387.64063,1032267,2026-02-19 06:47:45.287325+00:00
06-02-2020,125500,133000,125500,132000,105799.7422,1659774,2026-02-19 06:47:45.287325+00:00
07-02-2020,130500,131000,127500,131000,104998.2188,999598,2026-02-19 06:47:45.287325+00:00
10-02-2020,129500,132000,129000,130000,104196.7188,669628,2026-02-19 06:47:45.287325+00:00
11-02-2020,131000,135000,130500,132500,106200.4922,949247,2026-02-19 06:47:45.287325+00:00
