Date,open,high,low,close,adjclose,volume,ingested_at_utc
04-01-2022,212500,212500,208500,210000,175009.125,499857,2026-02-19 06:47:45.287325+00:00
05-01-2022,214000,217500,212000,213500,177925.9219,1175411,2026-02-19 06:47:45.287325+00:00
06-01-2022,210000,216500,210000,214000,178342.6094,866582,2026-02-19 06:47:45.287325+00:00
07-01-2022,214500,216500,213500,215000,179175.9844,577852,2026-02-19 06:47:45.287325+00:00
10-01-2022,214000,215000,209000,209500,174592.4219,744261,2026-02-19 06:47:45.287325+00:00
11-01-2022,209500,211500,209000,210500,175425.7969,482235,2026-02-19 06:47:45.287325+00:00
12-01-2022,211500,213000,210500,211500,176259.1563,470451,2026-02-19 06:47:45.287325+00:00
13-01-2022,211500,213000,210000,210000,175009.125,499094,2026-02-19 06:47:45.287325+00:00
14-01-2022,209500,211000,208000,209000,174175.7188,406569,2026-02-19 06:47:45.287325+00:00
17-01-2022,208500,209000,202500,205000,170842.2031,724213,2026-02-19 06:47:45.287325+00:00
18-01-2022,206000,206000,201500,202500,168758.7656,580959,2026-02-19 06:47:45.287325+00:00
19-01-2022,200500,203500,200000,200500,167092.0313,525014,2026-02-19 06:47:45.287325+00:00
20-01-2022,200500,202500,199500,202000,168342.0781,451581,2026-02-19 06:47:45.287325+00:00
21-01-2022,199500,201000,198500,200000,166675.3125,513891,2026-02-19 06:47:45.287325+00:00
24-01-2022,197500,200000,195000,197000,164175.1875,659010,2026-02-19 06:47:45.287325+00:00
25-01-2022,196500,197000,190000,194500,162091.75,1174185,2026-02-19 06:47:45.287325+00:00
26-01-2022,194500,194500,194500,194500,162091.75,0,2026-02-19 06:47:45.287325+00:00
27-01-2022,190000,191500,185500,186500,155424.7344,1072651,2026-02-19 06:47:45.287325+00:00
28-01-2022,186500,186500,186500,186500,155424.7344,0,2026-02-19 06:47:45.287325+00:00
03-02-2022,193000,195500,191500,191500,159591.6094,837241,2026-02-19 06:47:45.287325+00:00
04-02-2022,190500,192000,188000,190000,158341.5625,837609,2026-02-19 06:47:45.287325+00:00
07-02-2022,189500,190000,184500,186500,155424.7344,829365,2026-02-19 06:47:45.287325+00:00
08-02-2022,186500,186500,186500,186500,155424.7344,0,2026-02-19 06:47:45.287325+00:00
09-02-2022,186500,186500,186500,186500,155424.7344,0,2026-02-19 06:47:45.287325+00:00
10-02-2022,186000,187000,182500,185500,154591.3594,1280607,2026-02-19 06:47:45.287325+00:00
11-02-2022,183000,184500,181000,183000,152507.9375,1001635,2026-02-19 06:47:45.287325+00:00
14-02-2022,179500,181000,176000,176500,147090.9844,1380176,2026-02-19 06:47:45.287325+00:00
15-02-2022,177000,183000,176500,180500,150424.4844,961742,2026-02-19 06:47:45.287325+00:00
16-02-2022,184500,185500,181000,182000,151674.5469,561867,2026-02-19 06:47:45.287325+00:00
17-02-2022,183000,186000,181000,183500,152924.625,767679,2026-02-19 06:47:45.287325+00:00
18-02-2022,181000,184000,180500,183500,152924.625,426090,2026-02-19 06:47:45.287325+00:00
21-02-2022,183500,183500,183500,183500,152924.625,0,2026-02-19 06:47:45.287325+00:00
22-02-2022,183500,183500,183500,183500,152924.625,0,2026-02-19 06:47:45.287325+00:00
23-02-2022,183500,183500,183500,183500,152924.625,0,2026-02-19 06:47:45.287325+00:00
24-02-2022,178500,179000,171000,173000,144174.1719,1722526,2026-02-19 06:47:45.287325+00:00
25-02-2022,175000,175500,171500,174000,145007.5313,949885,2026-02-19 06:47:45.287325+00:00
28-02-2022,174000,174000,174000,174000,145007.5313,0,2026-02-19 06:47:45.287325+00:00
02-03-2022,171500,172500,169500,170500,142090.7188,1384049,2026-02-19 06:47:45.287325+00:00
03-03-2022,173500,179000,173000,177500,147924.3594,1244300,2026-02-19 06:47:45.287325+00:00
04-03-2022,177500,177500,177500,177500,147924.3594,0,2026-02-19 06:47:45.287325+00:00
07-03-2022,170000,171000,165500,168000,140007.2813,1439259,2026-02-19 06:47:45.287325+00:00
08-03-2022,164000,170500,163500,168000,140007.2813,728464,2026-02-19 06:47:45.287325+00:00
10-03-2022,168000,168000,168000,168000,140007.2813,0,2026-02-19 06:47:45.287325+00:00
11-03-2022,168000,168000,168000,168000,140007.2813,0,2026-02-19 06:47:45.287325+00:00
